ID,Organism,MIBiG_cluster,Molecular formula,Monoisotopic mass,Canonical smiles,Isomeric smiles,Reference,Unnamed: 8,InChIKey,NPAID
Penicimutalide G,Penicillium purpurogenum strain G59,Unknown,C21H39N5O6,457.290034,CCCCCCCCCC(O)CC(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(N)=O,Unknown,,,,
Peptin 31,Pseudomonas syringae strain 31R1,Unknown,C62H101N13O15,1267.75401,CC=C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CCCN1C(=O)C(=CC)NC(=O)CC(O)CCCCCCCCC)C(C)C)C(=O)NC(C)C(=O)NC(CCN)C(=O)NC(CCN)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,C/C=C(\NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CCCN1C(=O)/C(=C/C)NC(=O)CC(O)CCCCCCCCC)C(C)C)C(=O)NC(C)C(=O)NC(CCN)C(=O)NC(CCN)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,,,RQFRUAIOJPZMDX-XFCLDIAHSA-N,
Phoenistatin,Acremonium fusigerum QN5320,Unknown,C29H40N4O6,540.294785,CCC1(C)NC(=O)C(CCCCCC(=O)C2CO2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,Unknown,,,,NPA009324
Pholipeptin,Pseudomonas fluorescens,Unknown,C64H111N11O20,1353.800685,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C,CCCCCCCC(O)CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H](CC(=O)O)C(=O)O[C@@H]1C,,,GHXLBZVIYYOQOC-WGJYDZPBSA-N,NPA007698
Plipastatin A1,Bacillus subtilis subsp. subtilis,BGC0000407,C72H110N12O20,1462.795934,CCCCCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCN)C(=O)N[C@H]1Cc2ccc(cc2)OC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]([C@@H](C)O)NC1=O,,,CUOJDWBMJMRDHN-VIHUIGFUSA-N,NPA020419
Plipastatin A2,Bacillus subtilis subsp. subtilis,BGC0000407,C73H112N12O20,1476.811584,CCC(C)CCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,CC[C@H](C)CCCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCN)C(=O)N[C@H]1Cc2ccc(cc2)OC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]([C@@H](C)O)NC1=O,,,YSHVOZLUGRPITA-LEJFOPHCSA-N,
Plipastatin B1,Bacillus subtilis subsp. subtilis,BGC0000407,C74H114N12O20,1490.827234,CCCCCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCN)C(=O)N[C@H]1Cc2ccc(cc2)OC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]([C@@H](C)O)NC1=O,,,BBRYHXPVDSFBGT-LOBQSVLGSA-N,
Plipastatin B2,Bacillus subtilis subsp. subtilis,BGC0000407,C75H116N12O20,1504.842884,CCC(C)CCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,CC[C@H](C)CCCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCN)C(=O)N[C@H]1Cc2ccc(cc2)OC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]([C@@H](C)O)NC1=O,,,MDGVEJMMQGHRTN-RZEABPKTSA-N,
Pneumocandin A0,Zalerion arboricola,BGC0001035,C51H82N8O17,1078.579793,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H](C(O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,,,DFQUSLQYURJBIT-ZTDAOEOCSA-N,NPA001123
Pneumocandin B0,Glarea lozoyensis,Unknown,C50H80N8O17,1064.564143,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)CCN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,,,DQXPFAADCTZLNL-ZESADUFFSA-N,NPA013799
