ID,Organism,MIBiG_cluster,Molecular formula,Monoisotopic mass,Canonical smiles,Isomeric smiles,Reference,Unnamed: 8,InChIKey,NPAID
A54145,Streptomyces fradiae,BGC0000291,Unknown,Unknown,Unknown,Unknown,,,,
A54145 A,Streptomyces fradiae,BGC0000291,C72H109N17O27,1643.767881,CCC(C)C1NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(OC)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC1=O,CCC(C)[C@H]1NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](OC)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC1=O, https://doi.org/10.7164/antibiotics.43.616,,SSLAXQGCYJCORX-ISSMACFRSA-N,NPA020420
A54145 A1,Streptomyces fradiae,BGC0000291,C72H109N17O27,1643.767881,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCCCCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,FHVNZVVZQZCWNH-ISSMACFRSA-N,NPA020421
A54145 B,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCCCCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,IXYMYSZPMWIOEU-DIHDQWADSA-N,NPA020422
A54145 B1,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCC(C)C1NC(=O)C(C(C)CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(OC)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC1=O,CCC(C)[C@H]1NC(=O)C(C(C)CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](OC)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC1=O, https://doi.org/10.7164/antibiotics.43.616,,CBNVAXBNVYSAHR-DIHDQWADSA-N,NPA020423
A54145 C,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)C)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)N[C@H](C(C)C)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,SYMDORIRMMYSCZ-MBYMUFAPSA-N,NPA020424
A54145 D,Streptomyces fradiae,BGC0000291,C73H111N17O27,1657.783531,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,VUWZKXRXFYKBQS-MBPFEYAGSA-N,NPA020425
A54145 E,Streptomyces fradiae,BGC0000291,C74H113N17O27,1671.799181,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC1C(=O)N(C)CC(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C(OC)C(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)NC(C(C)CC)C(=O)OC1C)C(O)C(N)=O,CCC(C)CCCCCCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N(C)CC(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]([C@@H](OC)C(=O)O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)NC(C(C)CC(=O)O)C(=O)N[C@H](C(C)CC)C(=O)O[C@H]1C)C(O)C(N)=O, https://doi.org/10.7164/antibiotics.43.616,,PULXIWZYVCSTMS-YYVRKWBWSA-N,NPA020426
A54145 F,Streptomyces fradiae,BGC0000291,C71H107N17O27,1629.752231,COC(C(=O)O)C1NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)C(C)OC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)CNC1=O,CO[C@@H](C(=O)O)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)C(CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CNC1=O, https://doi.org/10.7164/antibiotics.43.616,,AOLCXKLFRNFESX-REKQDZLOSA-N,NPA020427
Aculeacin A_,Aspergillus aculeatus NRRL 11270,BGC0001220,C50H81N7O16,1035.57398,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,,,YKPHLXGEPNYRPY-ZIUFDZNVSA-N,
Aculeacin D_,Aspergillus aculeatus NRRL 11270,BGC0001220,Unknown,Unknown,Unknown,Unknown,,,,
Almiramide D,Oscillatoria nigroviridis,Unknown,C37H66N6O6,690.5043838,C#CCCCCC(C)C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC(C)C(N)=O)C(C)CC)C(C)CC)C(C)C)C(C)C,Unknown,https://dx.doi.org/10.1021%2Fjm100265s,https://doi.org/10.1016/j.bmc.2014.10.039,,
Amphisin,Pseudomonas sp. strain DSS73,Unknown,C66H114N12O20,1394.827234,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C,CCCCCCC[C@@H](O)CC(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCC(N)=O)C(=O)NC(CC(C)C)C(=O)N[C@H]([C@H](C)CC)C(=O)N[C@@H](CC(=O)O)C(=O)O[C@@H]1C,10.1107/S0108270101010782,,VSLSRTLNLDICQU-DEJUIXONSA-N,
Amphomycin,Actinoplanes friuliensis,Unknown,C58H91N13O20,1289.650332,CCC(C)CCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCC/C=C\CC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,10.1021/ja00788a040,,WAFOSUDOWLQGBG-OWBHPGMISA-N,
Amphomycin A1437 A,Actinoplanes friuliensis|Streptomyces canus,Unknown,C58H91N13O20,1289.650332,CC(C)CCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCC/C=C\CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,10.1021/ja00788a040,,ZRXGKJHECBOCIG-CKWLQLSLSA-N,
Amphomycin A1437 B,Actinoplanes friuliensis|Streptomyces canus,Unknown,C59H93N13O20,1303.665982,CC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCCC/C=C\CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,10.1021/ja00788a040,,BYWOWQCRVFUOLF-HROQCEBTSA-N,NPA002355
Amphomycin A1437 D,Actinoplanes friuliensis|Streptomyces canus,Unknown,C60H95N13O20,1317.681632,CCC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCCCC/C=C\CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,10.1021/ja00788a040,,SCCPTOBJYIMDSI-GLNWISQQSA-N,
Amphomycin A1437 E,Actinoplanes friuliensis|Streptomyces canus,Unknown,C58H91N13O20,1289.650332,CCC(C)CCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCC/C=C\CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@@H]([C@H](C)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H]([C@@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H]1C,10.1021/ja00788a040,,WAFOSUDOWLQGBG-NUZIGYSUSA-N,
Anabaenolysin A,Anabaena sp.,Unknown,C28H38N4O8,558.2689642,CCC=CC=CCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,CC/C=C/C=C/CC/C=C/C=C/C=C/C[C@@H]1NC(=O)CNC(=O)CNC(=O)[C@H](O)C2OC(=O)CC2NC(=O)[C@@H]1O,10.1371/journal.pone.0041222,,XQWGCUIJOHQMPI-WUXQXXNESA-N,
Anabaenolysin B,Anabaena sp.,Unknown,C28H40N4O8,560.2846142,CCCCC=CCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,CCCC/C=C/CC/C=C/C=C/C=C/C[C@@H]1NC(=O)CNC(=O)CNC(=O)[C@H](O)C2OC(=O)CC2NC(=O)[C@@H]1O,10.1371/journal.pone.0041222,,LGUAYVFDTSZKFQ-UPTMYZHASA-N,
Anabaenolysin B impurity a,Anabaena sp.,Unknown,C28H40N4O8,560.2846142,CCC=CCCCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,CC/C=C/CCCC/C=C/C=C/C=C/C[C@@H]1NC(=O)CNC(=O)CNC(=O)[C@H](O)C2OC(=O)CC2NC(=O)[C@@H]1O,10.1371/journal.pone.0041222,,GLQQYKJCSWPPFT-LSMAYEGOSA-N,
Anabaenolysin B impurity b,Anabaena sp.,Unknown,C28H40N4O8,560.2846142,C=CCCCCCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,C=CCCCCCC/C=C/C=C/C=C/C[C@@H]1NC(=O)CNC(=O)CNC(=O)[C@H](O)C2OC(=O)CC2NC(=O)[C@@H]1O,10.1371/journal.pone.0041222,,VCWZSILIQAFYRB-WPHYJBFTSA-N,
Antiadhesin,Bacillus licheniformis strain 603,Unknown,C52H91N7O13,1021.667486,CC(C)CCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)O1,CC(C)CCCCCCCCCC1CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CC(C)C)C(=O)O1,10.1016/j.bbalip.2003.09.004,,XAXXDZSOKTZHOT-ZIWIHYJTSA-N,
Antibiotic 1316B1,Bacillus subtilis sp. AJ1316 FERM P-154,Unknown,C49H76N12O14,1057.211,Unknown,Unknown,,,,
Antibiotic 1316B2,Bacillus subtilis sp. AJ1316 FERM P-154,Unknown,C50H78N12O14,1071.238,Unknown,Unknown,,,,
Antibiotic 1316B3,Bacillus subtilis sp. AJ1316 FERM P-154,Unknown,C51H80N12O14,1085.265,Unknown,Unknown,,,,
Antibiotic 30-2,Bacillus subtilis sp. 30-2 FERM P-8525,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic 3127,Emericella nidulans sp. F-3127,Unknown,C26H47N5O7,541.3475488,CCCCCCCCCC(O)CC(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(C=O)C(C)C,Unknown,Patent JPH0341089A,,,
Antibiotic 4205,Bacillus sp. 4205,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic 480HS20,Bacillus subtilis sp. 480HS20,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic 681-17,Bacillus brevis,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic A 21978C1,Streptomyces roseosporus NRRL 11379,Unknown,C73H103N17O26,1633.726016,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,CCC(C)CCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,https://doi.org/10.7164/antibiotics.40.761,,JIWMNQHEULUDBP-KZVFRWNDSA-N,NPA000662
Antibiotic A 21978C2,Streptomyces roseosporus NRRL 11379,Unknown,C74H105N17O26,1647.741666,CC(C)CCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,CC(C)CCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,https://doi.org/10.7164/antibiotics.40.761,,YSHHVIQRKLLKJS-HDCUDCHLSA-N,NPA000264
Antibiotic A 21978C3,Streptomyces roseosporus NRRL 11379,Unknown,C75H107N17O26,1661.757317,CCC(C)CCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,CCC(C)CCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,https://doi.org/10.7164/antibiotics.40.761,,GCVWJWJCDFNQKJ-XAJPNWJESA-N,NPA011480
Antibiotic A 32204A,Aspergillus nidulans var. echinulatus ATCC 16825 NRRL 3860,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic AB 1,Bacillus subtilis,BGC0001090,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic AB 2,Bacillus circulans FERM P-3097,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic AFC-BC11,Burkholderia cepacia BC11,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic AM 157,Bacillus sp. EF-10157,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic B 43,Bacillus circulans B43,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic B7,Bacillus subtilis sp. B7,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic BN 109,Bacillus polymyxa BN109,BGC0000433,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic BN 7,Bacillus circulans sp. BN-7,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic CF 66I,Burkholderia cepacia CF-66,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic CP 41012,Actinoplanes nipponensis,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic FR 901379,Coleophoma empetri F-11899,Unknown,C51H82N8O21S,1174.531523,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,Unknown,https://doi.org/10.7164/antibiotics.47.1084,,,
Antibiotic FR 901381,Coleophoma empetri ,Unknown,C51H82N8O20S,1158.536608,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)Cc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,Unknown,https://doi.org/10.7164/antibiotics.47.1084,,,
Antibiotic FR 901382,Coleophoma empetri ,Unknown,C51H82N8O19S,1142.541693,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(CCc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,Unknown,https://doi.org/10.7164/antibiotics.47.1084,,,
Antibiotic GIF 1,Bacillus cereus sp. SW-P7242,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic GIF 2,Bacillus cereus SW (FERM P-7242) FERM BP-746,Unknown,C49H76N12O14,1056.5603,Unknown,Unknown,,,,
Antibiotic HUT 57,Bacillus licheniformis FERM P-11442,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic KBS,Bacillus sp. KBS variants,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic P 19,Bacillus subtilis 060 FERM P-8542,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic P 2,Bacillus subtilis 260 FERM P-8544,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic P 3,Bacillus subtilis FERM P-8542,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic P 4,Bacillus subtilis FERM P-8542,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic RK 0721,Pseudomonas fluorescens FERM P-9102,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
Antibiotic S 31794F1,Acrophialophora limonispora nov. sp. NRRL 8095,Unknown,C49H78N8O17,1050.548493,CCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,Unknown,Patent US4173629A,,,
