SMILES,Category,PC1,PC2
CC(=O)O,SCFA,0.3190261639906546,0.8355183235666137
CCC(C)CCCCCCC(=O)O,LCFA,-1.249221150620333,0.24054029337225993
Cc1ccc(C(=O)O)c(N)c1O,AR,1.8929128084832643,-0.371179178462479
CCCCCCC[C@H](O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCCCCCCCC(=O)O,LCFA,-1.2915992604251698,0.17969778608988568
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCC1OC1C(=O)O,SCFA,-0.2427516619183327,1.1656660292319918
CCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCC(=O)O,LCFA,-1.2915992604251698,0.17969778608988568
O=C(O)c1cnc2ccccc2n1,AR,1.624016715876497,0.26678915743348286
CCC(C)CCCC/C=C/C=C/C(=O)O,LCFA,-0.81385849309674,1.971872826229413
CC(C)CCCC/C=C/C=C/C(=O)O,LCFA,-0.769588514742771,2.121058603450994
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CC(=O)O,SCFA,0.3190261639906488,0.8355183235666112
CC(=O)O,SCFA,0.3190261639906488,0.8355183235666112
CCC(C)CCCCCCC/C=C\CC(=O)O,LCFA,-1.1842617895362746,0.8324286000191016
CC(C)CCCCCCC/C=C/CC(=O)O,LCFA,-1.1399918111823053,0.9816143772406835
CCC(C)CCCCC/C=C/CC(=O)O,LCFA,-1.1842617895362746,0.8324286000191016
CCC(C)CCCCCCC/C=C\CC(=O)O,LCFA,-1.1842617895362746,0.8324286000191016
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCCCCCC(O)C(O)C(=O)O,LCFA,-1.6440073632830605,-0.335285961419249
CCCCCCCCCCCCCC(O)C(O)C(=O)O,LCFA,-1.6440073632830605,-0.335285961419249
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
O=C(O)c1ccc(Cl)n1O,AR,1.3728009430223291,0.30749540955348903
O=C(O)c1cccn1O,AR,1.5224875492624486,0.20616489793362305
O=C(O)c1ccc(Cl)n1O,AR,1.3728009430223291,0.30749540955348903
O=C(O)c1ccc(Cl)n1O,AR,1.3728009430223291,0.30749540955348903
O=C(O)c1ccc(Cl)n1O,AR,1.3728009430223291,0.30749540955348903
O=C(O)c1ccc(Cl)n1O,AR,1.3728009430223291,0.30749540955348903
CCOC(=O)COn1c(Cl)ccc1C(=O)O,AR,0.7901293545835995,0.44304700694567756
CC(C)CCCCCCCCC/C=C/C(=O)O,LCFA,-0.9095266100526507,1.6584174684933517
CCCCCCC/C=C/C=C/C(=O)O,LCFA,-1.027815844976433,1.7978081140695492
CCCCCCC/C=C/C=C/C(=O)O,LCFA,-1.027815844976433,1.7978081140695492
CCCCCCC/C=C/C=C/C(=O)O,LCFA,-1.027815844976433,1.7978081140695492
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CCCCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCCCCCCCCCCCCCC(=O)O,LCFA,-1.2915992604251698,0.17969778608988568
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CC(C)C(O)CC(=O)O,SCFA,-0.7730182628360409,0.1803673028994883
CCC(C)C(O)CC(=O)O,SCFA,-0.9663411589135433,0.16615530873072332
CCC(C)C(O)CC(=O)O,SCFA,-0.9663411589135433,0.16615530873072332
CC(C)C(O)CC(=O)O,SCFA,-0.7730182628360409,0.1803673028994883
CCCCCCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
CCC(C)CCCCC(=O)O,MCFA,-1.0776419085454771,0.35376249824974887
CCCCCC(=O)O,SCFA,-1.120020018350314,0.29291999096737464
O=C(O)c1cnc2ccccc2n1,AR,1.624016715876497,0.26678915743348286
O=C(O)c1cccc(O)c1O,AR,3.134999008579794,-1.4790405887916958
CCCCCC(O)CC(=O)O,MCFA,-2.5020264888199772,-1.4259921399636233
C/C=C\c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
C/C=C\c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
CCC(C)CCCCCCC(=O)CC(=O)O,LCFA,-1.1657573475720104,0.1878734532764813
CCCCCCCCCCCC(O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
